r_i_docking_score,ZINC_ID
-6.9,ZINC000440516544
-6.3,ZINC000440613311
-6.5,ZINC000444116171
-6.1,ZINC000444116172
-6.3,ZINC000444116173
-6.2,ZINC000444116174
-7.0,ZINC000445112173
-7.3,ZINC000448255083
-7.3,ZINC000448255085
-7.1,ZINC000448255086
-7.5,ZINC000448539829
-4.9,ZINC000450157343
-6.4,ZINC000450157344
-5.7,ZINC000450157345
-6.7,ZINC000450437720
-7.0,ZINC000460949756
-6.7,ZINC000461748548
-6.8,ZINC000462377530
-6.5,ZINC000462620782
-7.0,ZINC000464599434
-7.3,ZINC000467464291
-7.1,ZINC000472541717
-6.6,ZINC000472562566
-7.0,ZINC000472654112
-7.5,ZINC000473654239
-7.1,ZINC000474742389
-6.6,ZINC000478064025
-7.3,ZINC000478081694
-7.4,ZINC000478551286
-7.3,ZINC000478551287
-7.1,ZINC000478551288
-7.0,ZINC000478551289
-6.7,ZINC000478694715
-7.1,ZINC000478694716
-7.3,ZINC000478695854
-7.2,ZINC000478698718
-7.2,ZINC000479177825
-6.9,ZINC000479495111
-7.2,ZINC000479509703
-6.5,ZINC000479611378
-5.7,ZINC000479674720
-7.2,ZINC000485187748
-5.9,ZINC000485344925
-6.8,ZINC000487263665
-6.8,ZINC000487281834
-6.4,ZINC000487293247
-6.5,ZINC000487310842
-6.7,ZINC000487316926
-6.1,ZINC000488243536
-6.4,ZINC000488243537
-6.4,ZINC000488687723
-7.3,ZINC000488691095
-6.2,ZINC000488691096
-6.8,ZINC000488693135
-6.7,ZINC000488715267
-6.2,ZINC000488717261
-7.0,ZINC000488717264
-6.5,ZINC000488717266
-6.8,ZINC000488727222
-6.7,ZINC000488727225
-6.9,ZINC000488727227
-6.4,ZINC000488737215
-7.0,ZINC000490264940
-6.8,ZINC000491430048
-6.4,ZINC000491459100
-7.2,ZINC000493312417
-6.7,ZINC000494029534
-6.5,ZINC000494118057
-7.4,ZINC000495159651
-7.5,ZINC000495159717
-7.4,ZINC000499034610
-6.8,ZINC000499034611
-7.5,ZINC000499142428
-6.4,ZINC000501593191
-6.9,ZINC000501611964
-7.1,ZINC000501790523
-6.2,ZINC000501790524
-7.2,ZINC000504243202
-6.9,ZINC000504387805
-6.1,ZINC000505716556
-7.7,ZINC000505873404
-6.9,ZINC000505889174
-7.1,ZINC000505891125
-7.1,ZINC000505933276
-7.0,ZINC000506773619
-6.9,ZINC000508001406
-6.8,ZINC000508356183
-6.9,ZINC000508419933
-6.3,ZINC000510296045
-6.3,ZINC000511328518
-5.7,ZINC000512574257
-6.6,ZINC000512698692
-7.5,ZINC000512719999
-7.2,ZINC000513729750
-6.8,ZINC000513797320
-6.3,ZINC000514970151
-6.9,ZINC000515740578
-7.2,ZINC000515740579
-7.0,ZINC000516635099
-6.7,ZINC000517892487
-7.2,ZINC000518640886
-7.2,ZINC000518640888
-6.9,ZINC000518901943
-6.9,ZINC000523857812
-7.0,ZINC000526945770
-6.9,ZINC000531333858
-7.0,ZINC000531491999
-6.6,ZINC000531750911
-7.4,ZINC000531925087
-7.3,ZINC000531925088
-6.8,ZINC000532019536
-6.6,ZINC000532184576
-7.1,ZINC000532201110
-7.0,ZINC000532264600
-6.5,ZINC000532264602
-6.0,ZINC000532264603
-6.7,ZINC000532425709
-7.0,ZINC000532445828
-7.2,ZINC000532590516
-6.9,ZINC000532635890
-6.8,ZINC000536489647
-7.0,ZINC000537097177
-6.5,ZINC000537987385
-6.9,ZINC000538572823
-7.1,ZINC000538822612
-6.6,ZINC000539105710
-6.8,ZINC000539449449
-7.4,ZINC000539594286
-7.2,ZINC000539692159
-6.9,ZINC000540929083
-6.3,ZINC000541495975
-7.0,ZINC000541857499
-6.3,ZINC000541903079
-7.0,ZINC000542369171
-6.7,ZINC000542833614
-6.5,ZINC000543069791
-6.8,ZINC000543069793
-7.5,ZINC000544154437
-7.4,ZINC000544308335
-7.1,ZINC000544587385
-7.1,ZINC000544767368
-7.4,ZINC000544962687
-7.0,ZINC000544988579
-7.1,ZINC000545033332
-7.3,ZINC000545611525
-7.2,ZINC000545647229
-7.0,ZINC000545690642
-6.5,ZINC000545690645
-7.3,ZINC000546314312
-6.7,ZINC000546345040
-7.1,ZINC000546346606
-6.7,ZINC000546360935
-7.0,ZINC000546366180
-7.0,ZINC000546454736
-6.8,ZINC000546962335
-7.3,ZINC000547000280
-6.7,ZINC000547050982
-7.1,ZINC000547055925
-6.9,ZINC000547058329
-6.8,ZINC000547071722
-6.9,ZINC000547097932
-7.6,ZINC000547099392
-7.1,ZINC000551354298
-6.8,ZINC000551636521
-7.1,ZINC000552365848
-7.0,ZINC000553044668
-7.0,ZINC000553231022
-7.6,ZINC000553692735
-7.2,ZINC000554023583
-7.2,ZINC000554023587
-7.0,ZINC000554047323
-7.0,ZINC000554368857
-6.9,ZINC000554800224
-7.0,ZINC000555351478
-7.2,ZINC000556877883
-6.3,ZINC000557017959
-6.5,ZINC000557203021
-6.8,ZINC000557282277
-7.5,ZINC000557647279
-6.4,ZINC000559296244
-6.8,ZINC000560293036
-7.1,ZINC000561370125
-7.4,ZINC000561410842
-7.1,ZINC000562114377
-6.6,ZINC000562114378
-7.3,ZINC000564195135
-7.0,ZINC000566596477
-6.9,ZINC000566714304
-7.1,ZINC000566755483
-6.2,ZINC000568471993
-6.6,ZINC000569175208
-6.8,ZINC000569267335
-6.9,ZINC000569703143
-7.1,ZINC000569703146
-6.5,ZINC000570242050
-7.0,ZINC000573726565
-7.4,ZINC000573922745
-6.8,ZINC000574605379
-7.4,ZINC000576073030
-6.5,ZINC000576184030
-6.5,ZINC000576449345
-6.9,ZINC000578812368
-6.0,ZINC000579626699
-6.4,ZINC000579626700
-6.4,ZINC000579626702
-6.8,ZINC000580033708
-6.8,ZINC000580033710
-6.3,ZINC000580418680
-6.9,ZINC000580739698
-7.0,ZINC000582492437
-6.7,ZINC000584091622
-6.9,ZINC000585209733
-6.8,ZINC000588014574
-7.7,ZINC000590407440
-7.1,ZINC000590884952
-6.7,ZINC000592498073
-6.1,ZINC000592697616
-6.5,ZINC000592697617
-6.1,ZINC000592697618
-6.8,ZINC000592698368
-6.9,ZINC000592698387
-6.1,ZINC000592698765
-5.9,ZINC000592702051
-6.9,ZINC000592708632
-7.1,ZINC000592803058
-6.9,ZINC000592803062
-7.3,ZINC000592803225
-6.0,ZINC000592803667
-7.2,ZINC000592803669
-7.0,ZINC000592805279
-7.0,ZINC000598914720
-6.8,ZINC000604860148
-6.7,ZINC000605025618
-7.2,ZINC000605028223
-6.8,ZINC000605924933
-6.8,ZINC000607820615
-6.6,ZINC000608129713
-6.4,ZINC000608301756
-6.9,ZINC000610364514
-6.6,ZINC000612494155
-6.7,ZINC000613668289
-6.9,ZINC000613691229
-7.0,ZINC000614366679
-7.2,ZINC000614427546
-7.1,ZINC000614431710
-6.8,ZINC000614702652
-7.0,ZINC000615887057
-6.7,ZINC000616818761
-7.3,ZINC000617270146
-7.2,ZINC000618563149
-6.8,ZINC000618563151
-6.7,ZINC000623622572
-7.4,ZINC000623622574
-7.2,ZINC000623650609
-6.4,ZINC000623650611
-6.6,ZINC000624551630
-6.6,ZINC000625780974
-7.3,ZINC000626828467
-6.9,ZINC000628152315
-6.4,ZINC000629947036
-6.6,ZINC000629947055
-7.3,ZINC000629947057
-7.0,ZINC000641838853
-7.1,ZINC000642123066
-7.0,ZINC000643644266
-7.4,ZINC000645331816
-6.0,ZINC000645331964
-7.8,ZINC000646312392
-6.5,ZINC000646494963
-7.4,ZINC000647689384
-6.9,ZINC000647690087
-7.0,ZINC000647760703
-6.8,ZINC000649241026
-6.5,ZINC000650382209
-6.7,ZINC000654742008
-6.8,ZINC000657736088
-7.6,ZINC000657736090
-6.7,ZINC000657736091
-6.7,ZINC000663819513
-6.1,ZINC000664472123
-6.4,ZINC000665455707
-6.8,ZINC000667391263
-6.5,ZINC000667391264
-6.9,ZINC000668062597
-6.9,ZINC000668062598
-6.8,ZINC000669536791
-7.0,ZINC000669536794
-6.9,ZINC000671705470
-6.8,ZINC000672454207
-6.9,ZINC000672469913
-7.3,ZINC000673599993
-7.0,ZINC000673610519
-6.3,ZINC000673990160
-6.8,ZINC000675637010
-7.2,ZINC000675690244
-7.1,ZINC000675690256
-7.0,ZINC000676064842
-7.2,ZINC000676064844
-7.3,ZINC000676064845
-6.0,ZINC000676123451
-6.4,ZINC000676123454
-7.5,ZINC000676129402
-7.1,ZINC000676129404
-6.1,ZINC000676130606
-7.1,ZINC000676444418
-7.0,ZINC000677414877
-6.8,ZINC000677543687
-7.3,ZINC000677803518
-7.6,ZINC000678462455
-6.6,ZINC000680665664
-7.4,ZINC000680688126
-7.2,ZINC000680712762
-7.1,ZINC000680734101
-6.7,ZINC000683507177
-7.0,ZINC000683529001
-6.8,ZINC000683572291
-6.4,ZINC000683572292
-5.9,ZINC000684048393
-6.6,ZINC000684826898
-6.9,ZINC000684923692
-7.0,ZINC000685718568
-6.7,ZINC000685718570
-7.1,ZINC000685825847
-6.9,ZINC000726501582
-6.5,ZINC000726739285
-6.8,ZINC000729176012
-7.2,ZINC000729521040
-7.3,ZINC000729555711
-7.5,ZINC000730252339
-6.5,ZINC000730934571
-5.9,ZINC000731369291
-7.6,ZINC000731573774
-6.6,ZINC000731828165
-6.3,ZINC000731828166
-7.0,ZINC000733769465
-6.8,ZINC000734306279
-7.2,ZINC000738173052
-7.2,ZINC000738175959
-6.9,ZINC000738177021
-7.1,ZINC000746154031
-6.8,ZINC000747297494
-6.8,ZINC000749000305
-7.0,ZINC000751963145
-7.6,ZINC000754633284
-7.4,ZINC000754689713
-6.8,ZINC000758022674
-6.7,ZINC000761778472
-7.6,ZINC000761779754
-7.7,ZINC000761779756
-7.2,ZINC000762645566
-6.6,ZINC000763288240
-7.2,ZINC000763290671
-7.0,ZINC000763379045
-7.0,ZINC000765801799
-6.3,ZINC000767964917
-6.7,ZINC000769119957
-6.8,ZINC000769119958
-7.0,ZINC000770448788
-7.2,ZINC000770551279
-6.8,ZINC000771115956
-7.0,ZINC000771136692
-7.1,ZINC000771702859
-7.2,ZINC000776814432
-6.7,ZINC000780252418
-7.2,ZINC000780718780
-6.3,ZINC000780720056
-7.3,ZINC000780723440
-7.1,ZINC000782350771
-6.7,ZINC000789934726
-7.0,ZINC000790196778
-7.0,ZINC000791179953
-6.8,ZINC000794724808
-6.8,ZINC000794725959
-6.8,ZINC000794734130
-7.0,ZINC000795471854
-6.8,ZINC000795624216
-6.6,ZINC000795637802
-6.4,ZINC000795642190
-6.8,ZINC000795667669
-6.0,ZINC000798282385
-6.8,ZINC000804541619
-6.6,ZINC000808249992
-7.1,ZINC000808461996
-6.9,ZINC000808478932
-7.2,ZINC000808906074
-6.9,ZINC000808906898
-7.1,ZINC000809290161
-6.5,ZINC000809296083
-6.4,ZINC000809304848
-7.0,ZINC000809336854
-7.0,ZINC000809337940
-6.4,ZINC000809339177
-7.2,ZINC000809340836
-7.3,ZINC000809340837
-6.8,ZINC000809406174
-6.5,ZINC000809406413
-6.8,ZINC000809408211
-6.8,ZINC000809469179
-6.9,ZINC000809476649
-6.9,ZINC000809479791
-7.2,ZINC000809499456
-6.7,ZINC000809534334
-7.4,ZINC000809534489
-7.1,ZINC000810321035
-6.8,ZINC000816006506
-6.7,ZINC000817468379
-6.6,ZINC000821850179
-7.1,ZINC000822009872
-6.7,ZINC000822275824
-6.5,ZINC000823504585
-6.8,ZINC000823811123
-7.0,ZINC000826298024
-6.8,ZINC000826475323
-7.1,ZINC000826475443
-7.0,ZINC000826475444
-6.9,ZINC000826475511
-7.0,ZINC000826520134
-6.6,ZINC000826619512
-6.8,ZINC000844238521
-6.3,ZINC000854604570
-5.7,ZINC000872943448
-6.9,ZINC000877863330
-6.6,ZINC000889376298
-6.8,ZINC000889709149
-6.8,ZINC000889729317
-7.0,ZINC000897262841
-6.9,ZINC000904311097
-6.8,ZINC000904335886
-6.3,ZINC000904361768
-6.7,ZINC000904535028
-6.4,ZINC000904607016
-6.1,ZINC000904691618
-6.9,ZINC000912646364
-7.1,ZINC000914558348
-7.4,ZINC000915294312
-7.3,ZINC000915294392
-7.1,ZINC000915865336
-7.4,ZINC000915914750
-7.0,ZINC000915992892
-7.0,ZINC000916154221
-7.3,ZINC000917493668
-6.9,ZINC000917515037
-7.0,ZINC000918400168
-7.6,ZINC000918670636
-7.4,ZINC000918671351
-7.2,ZINC000919685995
-6.2,ZINC000930875770
-6.9,ZINC000931531273
-6.3,ZINC000932204113
-6.8,ZINC000934909222
-6.7,ZINC000934909225
-5.6,ZINC000934910282
-6.3,ZINC000935612020
-6.9,ZINC000936030149
-6.4,ZINC000937789703
-6.5,ZINC000944093075
-6.1,ZINC000950494792
-6.5,ZINC000957856999
-6.2,ZINC000957857069
-6.3,ZINC000970396747
-6.0,ZINC000971281098
-6.0,ZINC000972024610
-6.1,ZINC000978362365
-5.8,ZINC000978682168
-6.4,ZINC000981852605
-6.2,ZINC000982597811
-6.3,ZINC000982908744
-6.6,ZINC000982908749
-6.4,ZINC000989768032
-6.7,ZINC000993751641
-6.3,ZINC000993870225
-6.4,ZINC000993870233
-6.4,ZINC000994176838
-6.3,ZINC000994839732
-6.5,ZINC000996016496
-6.3,ZINC000996016509
-6.7,ZINC000997400211
-6.4,ZINC000997632123
-6.5,ZINC001001888751
-6.6,ZINC001003567164
-6.0,ZINC001009186300
-6.5,ZINC001009186301
-6.5,ZINC001009190711
-6.0,ZINC001009190714
-6.4,ZINC001009190716
-5.9,ZINC001009571034
-6.2,ZINC001009571039
-6.4,ZINC001012748307
-6.3,ZINC001026151233
-6.7,ZINC001056244121
-7.3,ZINC001056259005
-6.3,ZINC001064626482
-6.3,ZINC001068177279
-7.0,ZINC001068178511
-6.1,ZINC001073475894
-6.6,ZINC001095949221
-6.9,ZINC001116595179
-7.0,ZINC001116875419
-6.9,ZINC001117110539
-7.3,ZINC001117113400
-6.7,ZINC001117133066
-7.0,ZINC001117225197
-7.2,ZINC001117225469
-6.5,ZINC001117240210
-6.6,ZINC001117240211
-7.0,ZINC001117674025
-7.3,ZINC001117714785
-6.1,ZINC001120717510
-6.8,ZINC001120718535
-6.8,ZINC001120803350
-6.1,ZINC001125021509
-6.9,ZINC001125345847
-5.4,ZINC001125525910
-6.9,ZINC001125796507
-6.5,ZINC001127707381
-6.8,ZINC001127724368
-6.8,ZINC001128391530
-7.2,ZINC001128439161
-7.2,ZINC001128522297
-7.0,ZINC001129978758
-6.9,ZINC001130586592
-6.7,ZINC001134776492
-6.7,ZINC001137214278
-6.8,ZINC001138107134
-6.6,ZINC001138109266
-6.5,ZINC001140328696
-7.4,ZINC001140696333
-6.7,ZINC001141477139
-6.9,ZINC001141478435
-6.5,ZINC001141627856
-6.4,ZINC001141683058
-7.0,ZINC001141829045
-7.3,ZINC001143904840
-6.9,ZINC001144063382
-7.4,ZINC001144063946
-7.2,ZINC001144064176
-7.1,ZINC001148650136
-7.0,ZINC001149133419
-6.8,ZINC001149380673
-6.7,ZINC001149425690
-6.2,ZINC001149475811
-6.9,ZINC001150504924
-6.3,ZINC001150922464
-7.3,ZINC001150999317
-6.8,ZINC001150999325
-7.3,ZINC001150999595
-7.4,ZINC001150999603
-5.3,ZINC001151005883
-7.3,ZINC001151201051
-7.0,ZINC001151515319
-6.4,ZINC001152113861
-6.9,ZINC001153361030
-7.2,ZINC001153425777
-6.5,ZINC001153822443
-7.0,ZINC001153822494
-7.0,ZINC001153836771
-6.9,ZINC001153836843
-7.3,ZINC001153837083
-6.9,ZINC001153837887
-7.3,ZINC001153837916
-7.1,ZINC001153838210
-7.1,ZINC001153844961
-7.0,ZINC001153939944
-7.3,ZINC001153939964
-7.2,ZINC001153939976
-6.8,ZINC001153940559
-6.8,ZINC001153943086
-7.1,ZINC001153945956
-7.3,ZINC001153946097
-6.9,ZINC001153946532
-7.0,ZINC001153946552
-6.7,ZINC001153946622
-7.1,ZINC001153946667
-7.3,ZINC001153946753
-7.3,ZINC001153946770
-6.9,ZINC001153946778
-7.1,ZINC001153946788
-7.0,ZINC001153946829
-7.1,ZINC001154599032
-7.3,ZINC001154671992
-7.3,ZINC001154856586
-7.0,ZINC001154857307
-6.8,ZINC001155569082
-7.0,ZINC001156053312
-6.3,ZINC001156058933
-7.2,ZINC001157269268
-6.3,ZINC001157269825
-6.5,ZINC001157269832
-7.2,ZINC001157285151
-7.0,ZINC001157873242
-6.9,ZINC001158126656
-6.9,ZINC001158743989
-7.3,ZINC001158750827
-6.9,ZINC001159173715
-7.3,ZINC001160903438
-7.0,ZINC001160903687
-6.9,ZINC001163555224
-7.3,ZINC001163951900
-6.5,ZINC001167080912
-6.8,ZINC001170090752
-7.5,ZINC001170990847
-7.0,ZINC001171177183
-6.8,ZINC001171558883
-6.7,ZINC001171785816
-7.4,ZINC001172829639
-6.9,ZINC001174205859
-7.3,ZINC001174855719
-7.1,ZINC001175059983
-6.4,ZINC001182486145
-6.6,ZINC001183589952
-7.4,ZINC001184051560
-5.9,ZINC001186092374
-6.8,ZINC001188696817
-7.0,ZINC001192580814
-6.8,ZINC001194158965
-7.4,ZINC001195868235
-6.9,ZINC001196310490
-6.8,ZINC001197064888
-6.9,ZINC001198774674
-7.5,ZINC001198905604
-7.0,ZINC001199086890
-6.6,ZINC001203990512
-6.8,ZINC001205960902
-6.7,ZINC001205961550
-6.8,ZINC001205961590
-7.2,ZINC001205961606
-6.7,ZINC001205961814
-6.7,ZINC001205961819
-6.7,ZINC001212503873
-7.1,ZINC001212592714
-7.2,ZINC001212594455
-7.2,ZINC001212597656
-6.8,ZINC001212667770
-6.5,ZINC001212667863
-6.6,ZINC001212667915
-6.4,ZINC001212785687
-7.1,ZINC001212788801
-7.1,ZINC001212788974
-7.0,ZINC001212793566
-7.0,ZINC001212793878
-6.6,ZINC001212824926
-6.5,ZINC001212963866
-6.5,ZINC001212964690
-5.9,ZINC001213010836
-7.6,ZINC001213076811
-7.5,ZINC001213076882
-7.4,ZINC001213077010
-6.7,ZINC001213107676
-6.7,ZINC001213155468
-6.5,ZINC001213663848
-6.6,ZINC001213664040
-7.1,ZINC001213664286
-7.2,ZINC001213664742
-7.3,ZINC001213666233
-6.3,ZINC001213758196
-6.3,ZINC001213766349
-6.9,ZINC001213771558
-7.1,ZINC001213772276
-7.1,ZINC001213776283
-6.8,ZINC001213806236
-7.0,ZINC001213806470
-6.9,ZINC001213806542
-7.0,ZINC001213836491
-6.1,ZINC001213898678
-7.3,ZINC001214059699
-7.3,ZINC001214059976
-6.0,ZINC001214631430
-7.2,ZINC001214728014
-7.2,ZINC001214728085
-6.7,ZINC001215078502
-6.9,ZINC001215187772
-6.8,ZINC001215187786
-6.8,ZINC001215226244
-6.4,ZINC001215250471
-6.0,ZINC001215385252
-6.6,ZINC001215393445
-6.7,ZINC001215393864
-6.9,ZINC001215395249
-6.8,ZINC001215395305
-6.5,ZINC001215400041
-7.1,ZINC001215424906
-7.0,ZINC001215426694
-7.0,ZINC001215426805
-7.2,ZINC001215426827
-7.2,ZINC001215588372
-7.0,ZINC001215694105
-6.3,ZINC001215741419
-6.9,ZINC001215753203
-7.0,ZINC001215753698
-6.9,ZINC001215787057
-6.9,ZINC001215787456
-6.9,ZINC001215804086
-7.0,ZINC001215963998
-7.5,ZINC001215987573
-7.1,ZINC001216197369
-7.1,ZINC001216414476
-7.0,ZINC001216414667
-6.9,ZINC001216414843
-7.0,ZINC001216414891
-6.9,ZINC001216433428
-6.8,ZINC001216448761
-6.8,ZINC001216448828
-6.3,ZINC001216533194
-6.4,ZINC001216533915
-6.7,ZINC001216564304
-6.7,ZINC001216654645
-6.8,ZINC001216686577
-6.8,ZINC001216686598
-7.0,ZINC001216687927
-6.9,ZINC001216703793
-6.9,ZINC001216703952
-6.6,ZINC001216781249
-6.2,ZINC001216783109
-7.0,ZINC001216838842
-6.9,ZINC001216840415
-6.7,ZINC001216895491
-6.7,ZINC001216896128
-6.5,ZINC001216935380
-6.9,ZINC001216935806
-6.5,ZINC001216935925
-6.5,ZINC001216936225
-6.6,ZINC001216936611
-6.5,ZINC001216973887
-6.6,ZINC001216983621
-7.1,ZINC001217109515
-7.1,ZINC001217109567
-7.1,ZINC001217109668
-7.0,ZINC001217109945
-6.7,ZINC001217126684
-6.6,ZINC001217128488
